,contextWindow,solutionWindow,trainMSE,testMSE
2340,240.0,410.0,0.000352117634582541,0.0003435767923009637
2341,240.0,420.0,0.0003508177156386062,0.000357118716502434
2342,240.0,430.0,0.00035047184061213024,0.0003601095911878186
2343,240.0,440.0,0.00034997536273431707,0.00035493029048410145
2344,240.0,450.0,0.00035027878555024615,0.0003500610129723817
2345,240.0,460.0,0.000349052311987978,0.00035971508694081005
2346,240.0,470.0,0.0003503664732455354,0.0003456202322690349
2347,240.0,480.0,0.0003498329235631925,0.0003495359428229555
2348,240.0,490.0,0.00035044399889957116,0.0003404364444529428
2349,240.0,500.0,0.00034771029428892124,0.00036472029432744747
2350,240.0,510.0,0.00034792617133937035,0.00036130316469696797
2351,240.0,520.0,0.0003486604742980214,0.00035347050420812945
2352,240.0,530.0,0.00034816663003191007,0.0003550214043833635
2353,240.0,540.0,0.00034969079386268126,0.0003399504559185016
2354,240.0,550.0,0.00034797922307667974,0.000356282441415672
2355,240.0,560.0,0.00035003610950578223,0.00033841723062293203
2356,240.0,570.0,0.00034773615762396235,0.0003577125227216267
2357,240.0,580.0,0.00034884744000433185,0.00034663625483823086
2358,240.0,590.0,0.0003485921130897435,0.00034700314485091525
2359,240.0,600.0,0.0003473530280973458,0.00035721647258157
2360,240.0,610.0,0.0003482333278284813,0.0003485025236179848
2361,240.0,620.0,0.0003479905284403841,0.0003506787479509491
2362,240.0,630.0,0.00034665964956568605,0.00036147451162278643
2363,240.0,640.0,0.00034925719788448837,0.00033902241467205203
2364,240.0,650.0,0.0003481539728185115,0.00035006076699597825
2365,240.0,660.0,0.000347268615406721,0.0003527780089205438
2366,240.0,670.0,0.00034729665257102795,0.0003504320804549313
2367,240.0,680.0,0.0003503525478753629,0.0003234189066488568
2368,240.0,690.0,0.00034632782783652313,0.00035605795875117536
2369,240.0,700.0,0.0003474385269921408,0.0003441873825807965
2370,240.0,710.0,0.00034687876534045015,0.00034713247561433085
2371,240.0,720.0,0.00034562520813593916,0.00035591748703727143
2372,240.0,730.0,0.00034562335205963593,0.00035518845285023847
2373,240.0,740.0,0.0003460704179481313,0.0003493600716659144
2374,240.0,750.0,0.00034470756070602613,0.00035765072026003764
2375,240.0,760.0,0.00034645808510797927,0.000341302126737872
2376,240.0,770.0,0.0003454289877220922,0.00034678580009087377
2377,240.0,780.0,0.0003459043226790237,0.0003428433443517398
2378,240.0,790.0,0.00034298044631983065,0.0003648558945974221
2379,240.0,800.0,0.00034497272471287194,0.00034545561097542373
2380,240.0,810.0,0.0003437561183047431,0.0003516733665756955
2381,240.0,820.0,0.0003428604331818277,0.00035577657096733464
2382,240.0,830.0,0.00034386782423346043,0.00034353159940116683
2383,240.0,840.0,0.00034260344696120424,0.00034938418825125356
2384,240.0,850.0,0.0003424099350994889,0.00034522604378758946
2385,240.0,860.0,0.0003419278499276288,0.00034503907081582255
2386,240.0,870.0,0.00034084165330026234,0.00034968755337226175
2387,240.0,880.0,0.00034188899343676573,0.00033024826154549853
2388,240.0,890.0,0.0003398262963431227,0.0003413729629376812
2389,240.0,900.0,0.0003385327885083729,0.0003476576936050922
2390,240.0,910.0,0.0003387606310019281,0.00034091677116411415
2391,240.0,920.0,0.00033819067740416953,0.000338689893603831
2392,240.0,930.0,0.0003376698235274946,0.00033704401398772314
2393,240.0,940.0,0.00033596161906259607,0.0003465949349249773
2394,240.0,950.0,0.00033693317672366503,0.00033125459447905
2395,240.0,960.0,0.0003356794845475679,0.0003365663387107922
2396,240.0,970.0,0.00033381770029006344,0.0003473467717892549
2397,240.0,980.0,0.000334103597355346,0.00033897457433272046
2398,240.0,990.0,0.0003332271955007881,0.00033958002917003723
2399,240.0,1000.0,0.0003335410796895177,0.0003290656674707087
2400,250.0,10.0,0.0003154899712685367,0.00033889957499457586
2401,250.0,20.0,0.000347168746798102,0.0003694813730817525
2402,250.0,30.0,0.00035160538821968085,0.00034596725982485865
2403,250.0,40.0,0.00034945783951907065,0.0003720223387062259
2404,250.0,50.0,0.0003546311280213474,0.0003395740315737937
2405,250.0,60.0,0.00035486213115680477,0.00035509183607207196
2406,250.0,70.0,0.00035283283552627086,0.0003784046290412807
2407,250.0,80.0,0.0003556755286996833,0.00034889609859663315
2408,250.0,90.0,0.00035529567854039617,0.0003600908852658958
2409,250.0,100.0,0.0003551758892438931,0.0003657059121753203
2410,250.0,110.0,0.0003550057595350005,0.00036418454146648865
2411,250.0,120.0,0.00035387892041834984,0.0003757817565343685
2412,250.0,130.0,0.00035781680546628374,0.00034720372507827143
2413,250.0,140.0,0.00035650210848174266,0.00034828340354512875
2414,250.0,150.0,0.00035451129699480126,0.00036807384001161394
2415,250.0,160.0,0.0003540285704321139,0.00036884580713842676
2416,250.0,170.0,0.00035705578693152564,0.0003427019635283048
2417,250.0,180.0,0.0003540702203439374,0.00036920807958743543
2418,250.0,190.0,0.00035506868138238974,0.0003615828815835229
2419,250.0,200.0,0.0003559578337069175,0.00035792898814079324
2420,250.0,210.0,0.0003553652697636284,0.00034548590820937465
2421,250.0,220.0,0.00035286012924272815,0.0003677211997771939
2422,250.0,230.0,0.00035346359936043415,0.00035862219476877154
2423,250.0,240.0,0.0003551161315687636,0.00034462325868445906
2424,250.0,250.0,0.00035342113176417236,0.0003553603892806161
